id,name,alias,is_closed,review_count,price,rating,transactions,latitude,longitude,geometry,index_right,boro_code,boro_name,county_fip,ntacode,ntaname,shape_area,shape_leng,catlist
MB8yE2zRveecPR4bILb_0g,La Colombe Coffee,la-colombe-coffee-new-york-5,False,88,$$,4.0,[],40.7266995,-74.0070413,POINT (-74.0070413 40.7266995),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,['coffee']
M-1k30Dgcc1OxZ8buddE4Q,HARBS,harbs-new-york-13,False,107,$$,4.0,[],40.726366,-74.000015,POINT (-74.000015 40.726366),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,"['bakeries', 'coffee', 'sandwiches']"
oizdBfC13iDuerAFQcTPpw,The Wooly Daily,the-wooly-daily-new-york,False,73,$$,4.0,['delivery'],40.7122300098673,-74.0085512129864,POINT (-74.0085512129864 40.7122300098673),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,"['bakeries', 'coffee']"
g2QmFtxyiXEXQRx6BfV2Lw,MatchaBar Soho,matchabar-soho-new-york,False,44,$,4.0,[],40.72377,-73.9969,POINT (-73.9969 40.72377),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,"['cafes', 'coffee']"
fiZG5Ttjk428MIc9XvMBHQ,Office Coffee,office-coffee-new-york-2,False,19,$$,4.5,[],40.7188170429165,-74.001034836826,POINT (-74.00103483682599 40.7188170429165),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,['coffee']
nZC3WQp6XrmIYIoZSa6r3Q,Olive's,olives-new-york-3,False,216,$$,3.5,[],40.72662,-74.00241,POINT (-74.00241 40.72662),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,"['coffee', 'salad', 'sandwiches']"
uCJD5XBqGl7DWRdR5J8y0A,Kuro-Obi - Canal Street Market,kuro-obi-canal-street-market-new-york,False,45,$$,3.5,"['pickup', 'delivery']",40.71897,-74.00102,POINT (-74.00102 40.71897),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,"['coffee', 'desserts', 'ramen']"
j5Me3YSKfaYHoLu_74SMjA,Pret A Manger,pret-a-manger-new-york-64,False,32,$,4.0,[],40.715924,-74.005122,POINT (-74.005122 40.715924),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,"['breakfast_brunch', 'coffee', 'sandwiches']"
GktRnSCBAsboHj9Hh-U66g,GRECA,greca-new-york-3,False,53,$$,4.0,"['pickup', 'delivery']",40.7239479,-74.010406,POINT (-74.010406 40.7239479),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,"['breakfast_brunch', 'coffee', 'lounges']"
z1kkLXDqsaTYUZUTNtAhzQ,La Colombe Coffee,la-colombe-coffee-new-york-7,False,50,$,4.0,[],40.7258,-74.00114,POINT (-74.00114000000001 40.7258),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,['coffee']
